SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
14129-1,IFNA7,Interferon alpha-7,P01567,IFNA7,,,,,,,,,,,,,,,,
6214-84,IFNA8,Interferon alpha-8,P32881,IFNA8,,,,,,,,,,,,,,,,
14127-240,IFN-b,Interferon beta,P01574,IFNB1,,X,,X,,,,,,X,,,X,,X,X
7243-8,IFN-b,Interferon beta,P01574,IFNB1,,,,,,,,,,X,,,X,,X,X
24027-32,IFNE1,Interferon epsilon-1,Q86WN2,IFNE,,,,,,,,,,,,,,,,
14063-17,OSM,Oncostatin-M,P13725,OSM,,X,,,,,,,,X,,,X,X,X,X
2989-17,IFN-g,Interferon gamma,P01579,IFNG,,,,,,,,,,,,,,,,
5825-49,IFN-g R1,Interferon gamma receptor 1,P15260,IFNGR1,X,X,,X,,,,,,X,,,X,,X,X
8818-13,INGR2:CD,Interferon gamma receptor 2:Cytoplasmic domain,P38484,IFNGR2,,,,,,,,,,,,,,,,
9180-6,INGR2:ECD,Interferon gamma receptor 2:Extracellular domain,P38484,IFNGR2,,,,,,,,,,,,,,,,
9305-89,INGR2:ECD,Interferon gamma receptor 2:Extracellular domain,P38484,IFNGR2,,,,,,,,,,,,,,,,
7192-37,CRF2-12,Interferon lambda receptor 1,Q8IU57,IFNLR1,,X,,,,,,,,,,,,,,
13734-22,IFN-lambda 1,Interferon lambda-1,Q8IU54,IFNL1,,,,,,,,,,X,,,X,,X,X
4396-54,IFN-lambda 1,Interferon lambda-1,Q8IU54,IFNL1,,,,,,,,,,X,,,X,,X,X
4397-26,IFN-lambda 2,Interferon lambda-2,Q8IZJ0,IFNL2,,,,,,,,,,,,,,,,
5713-9,IFN-lambda 3,Interferon lambda-3,Q8IZI9,IFNL3,,X,,,,,,,,,,,,,,
21895-36,IFNL4,Interferon lambda-4,K9M1U5,None,,,,,,,,,,,,,,,,
7196-21,IFN-w,Interferon omega-1,P05000,IFNW1,,,,,,,,,,,,,,,,
10351-51,IRF1,Interferon regulatory factor 1,P10914,IRF1,X,,,X,,,,,,X,,,X,,X,X
17462-19,IRF1,Interferon regulatory factor 1,P10914,IRF1,,,,,,,,,,X,,,X,,X,X
12801-33,IRF2,Interferon regulatory factor 2,P14316,IRF2,,,,,,,,,,,,,,,,
17151-84,IRF-3,Interferon regulatory factor 3,Q14653,IRF3,,X,,,,,,,,,,,,,,
19564-61,IRF4,Interferon regulatory factor 4,Q15306,IRF4,X,X,,X,,,,,,,,,,,,
9857-38,IRF4,Interferon regulatory factor 4,Q15306,IRF4,,,,,,,,,,,,,,,,
25460-36,IRF5,Interferon regulatory factor 5,Q13568,IRF5,X,X,X,,X,,,,,,,,,,X,X
9999-1,IRF6,Interferon regulatory factor 6,O14896,IRF6,,X,,,,,,,,,,,,,,
22065-32,IRF8,Interferon regulatory factor 8,Q02556,IRF8,,X,,,,,,,,,,,,,,
12439-67,ISGF3,Interferon regulatory factor 9,Q00978,IRF9,,,,,,,,,,,,,,,,
17460-51,Mx1,Interferon-induced GTP-binding protein Mx1,P20591,MX1,X,X,X,X,X,,,,,,,,,,X,X
20195-13,IFIH1,Interferon-induced helicase C domain-containing protein 1,Q9BYX4,IFIH1,X,X,X,,X,,,,,,,,,,X,X
9853-3,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2,P09913,IFIT2,,X,,,,,,,,,,,,,,
13642-90,CIG49,Interferon-induced protein with tetratricopeptide repeats 3,O14879,IFIT3,,X,,,,,,,,,,,,,,
22010-36,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,O75569,PRKRA,,,,,,,,,,,,,,,,
25428-103,IFRD1,Interferon-related developmental regulator 1,O00458,IFRD1,,,,,,,,,,,,,,,,
12665-16,ILF2,Interleukin enhancer-binding factor 2,Q12905,ILF2,,X,,,,,,,,,,,,,,
12759-47,DRBP76,Interleukin enhancer-binding factor 3,Q12906,ILF3,,,,,,,,,,,,,,,,
2693-20,OSM,Oncostatin-M,P13725,OSM,,,,,,,,,,,,,,,,
3037-62,IL-1b,Interleukin-1 beta,P01584,IL1B,X,X,X,X,X,,,,,X,,X,X,,X,X
17356-34,IL1FA,Interleukin-1 family member 10,Q8WWZ1,IL1F10,,,,,,,,,,,,,,,,
14048-7,IL-1 R AcP,Interleukin-1 Receptor accessory protein,Q9NPH3,IL1RAP,,,,,,,,,,X,,,X,,X,X
2630-12,IL-1 R AcP,Interleukin-1 Receptor accessory protein,Q9NPH3,IL1RAP,,,,,,,,,,X,,,X,,X,X
20522-2,IRPL1,Interleukin-1 receptor accessory protein-like 1,Q9NZN1,IL1RAPL1,,,,,,,,,,,,,,,,
5353-89,IL-1Ra,Interleukin-1 receptor antagonist protein,P18510,IL1RN,X,X,X,X,X,,,,,X,,,X,,X,X
2991-9,IL-1 sRI,Interleukin-1 receptor type 1,P14778,IL1R1,X,X,,,,,,,,,,,,,,
14133-93,IL-1 sRII,Interleukin-1 receptor type 2,P27930,IL1R2,,,,,,,,,,,,,,,,
5666-64,IL-1 sRII,Interleukin-1 receptor type 2,P27930,IL1R2,X,X,,,,,,,,,,,,,,
18162-167,IRAK4,Interleukin-1 receptor-associated kinase 4,Q9NWZ3,IRAK4,X,X,,,,,,,,,,,,,,
4234-8,IL-1 R4,Interleukin-1 receptor-like 1,Q01638,IL1RL1,X,X,,,,,X,,,,,,X,,X,
2994-71,IL-1Rrp2,Interleukin-1 receptor-like 2,Q9HB29,IL1RL2,,,,,,,,,,X,,,X,,X,X
13723-6,IL-10,Interleukin-10,P22301,IL10,,,,,,,,,,,,,,,,
2681-23,HGF,Hepatocyte growth factor,P14210,HGF,X,X,X,X,X,,,,,,,,,X,X,X
10344-334,IL-10 Ra,Interleukin-10 receptor subunit alpha,Q13651,IL10RA,,,,,,,,,,X,,,X,,X,X
9343-16,IL-2 sRb,Interleukin-2 receptor subunit beta,P14784,IL2RB,,X,,,,,,,,,,,,X,X,
7790-21,LIF,Leukemia inhibitory factor,P15018,LIF,X,X,,,,,,,,,,,,X,X,
19437-61,L-VEGF165,Isoform L-VEGF165,P15692,VEGFA,,,,,,,,,,,,,,,,
4493-92,IL-11,Interleukin-11,P20809,IL11,X,,,,,,,,,X,,,X,,X,X
18216-22,IL-11 RA,Interleukin-11 receptor subunit alpha,Q14626,IL11RA,,,,,,,,,,,,,,,,
3814-63,IL-11 RA,Interleukin-11 receptor subunit alpha,Q14626,IL11RA,,,,,,,,,,,,,,,,
10367-62,IL-12,Interleukin-12,P29459|P29460,IL12A|IL12B,X,X,,X,,,,,,,,X,X,,X,
13706-12,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,P42701,IL12RB1,,,,,,,,,,X,,,X,,X,X
2632-5,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,P42701,IL12RB1,X,X,,,,,,,,X,,,X,,X,X
3815-14,IL-12 RB2,Interleukin-12 receptor subunit beta-2,Q99665,IL12RB2,,,,,,,,,,X,,,X,,X,X
2597-8,VEGF,Vascular endothelial growth factor A,P15692,VEGFA,X,X,,X,,,,,,X,,X,X,X,X,X
4867-15,VEGF121,"Vascular endothelial growth factor A, isoform 121",P15692,VEGFA,X,X,,X,,,,,,X,,,X,X,X,X
3072-4,IL-13,Interleukin-13,P35225,IL13,,,,,,,,,,,,,,,,
2633-52,IL-13 Ra1,Interleukin-13 receptor subunit alpha-1,P78552,IL13RA1,,,X,,,,,,,X,,,X,,X,X
19568-17,IL-15,Interleukin-15,P40933,IL15,,X,X,,X,,,,,,,,,,X,X
4145-58,Neurotrophin-3,Neurotrophin-3,P20783,NTF3,,X,,,,,,,,X,,,X,X,X,X
9377-25,SCF,Kit ligand,P21583,KITLG,X,X,,X,,,,,,,,,,X,X,
2774-10,IL-16,Interleukin-16,Q14005,IL16,X,X,,,,X,,,,,,,X,,X,
2992-59,IL-17 sR,Interleukin-17 receptor A,Q96F46,IL17RA,X,X,,,,,,,,X,,,X,,X,X
5084-154,IL-17B R,Interleukin-17 receptor B,Q9NRM6,IL17RB,,,,,,,,,,X,,,X,,X,X
6262-14,IL-17B R,Interleukin-17 receptor B,Q9NRM6,IL17RB,,,,,,,,,,X,,,X,,X,X
5468-67,IL-17 RC,Interleukin-17 receptor C,Q8NAC3,IL17RC,X,X,,,,,,,,,,,,,,
3376-49,IL-17 RD,Interleukin-17 receptor D,Q8NFM7,IL17RD,,,,,,,,,,,,,,,,
20535-68,I17RE,Interleukin-17 receptor E,Q8NFR9,IL17RE,,,,,,,,,,,,,,,,
2773-50,IL-10,Interleukin-10,P22301,IL10,X,X,X,X,X,,,,,,,X,X,X,X,X
9170-24,IL-17,Interleukin-17A,Q16552,IL17A,,,,,,,,,,,,,,,,
14022-17,IL-17B,Interleukin-17B,Q9UHF5,IL17B,,,,,,,,,,,,,,,,
3499-77,IL-17B,Interleukin-17B,Q9UHF5,IL17B,,,,,,,,,,,,,,,,
14047-78,BDNF,Brain-derived neurotrophic factor,P23560,BDNF,X,,X,,,,,,X,,,,X,X,X,
4136-40,IL-17D,Interleukin-17D,Q8TAD2,IL17D,,,,,,,,,,,,,,,,
14026-24,IL-17F,Interleukin-17F,Q96PD4,IL17F,,X,,X,,,,,,X,,,X,,X,X
2775-54,IL-17F,Interleukin-17F,Q96PD4,IL17F,,,,,,,,,,X,,,X,,X,X
3803-10,CYTD,Cystatin-D,P28325,CST5,,,,,,X,,,,,,,X,X,X,
13733-5,IL-12 p40,Interleukin-12 subunit beta,P29460,IL12B,X,X,,X,,,,,,,,,,X,X,
3446-7,IL-18 Ra,Interleukin-18 receptor 1,Q13478,IL18R1,,,,,,,,,,,,,,,,
10457-3,IL-18 Rb,Interleukin-18 receptor accessory protein,O95256,IL18RAP,,,,,,,,,,X,,,X,,X,X
2993-1,IL-18 Rb,Interleukin-18 receptor accessory protein,O95256,IL18RAP,,,,,,,,,,X,,,X,,X,X
3073-51,IL-18 BPa,Interleukin-18-binding protein,O95998,IL18BP,X,,,,,,,,,X,,,X,,X,X
3035-80,IL-19,Interleukin-19,Q9UHD0,IL19,,X,X,,X,,,,,X,,,X,,X,X
14085-28,IL-13,Interleukin-13,P35225,IL13,,X,,X,,,,,,,,X,X,X,X,
3151-6,IL-2 sRa,Interleukin-2 receptor subunit alpha,P01589,IL2RA,X,X,X,,X,,,,,X,,,X,,X,X
5822-22,GDNF,Glial cell line-derived neurotrophic factor,P39905,GDNF,,X,,X,,,,,,,,,,X,X,
5837-49,LIF sR,Leukemia inhibitory factor receptor,P42702,LIFR,,X,,X,,,,,,X,,,X,X,X,X
2979-8,ENA-78,C-X-C motif chemokine 5,P42830,CXCL5,,X,,,,,,,,X,,X,X,X,X,X
13435-31,IL-20 Rb,Interleukin-20 receptor subunit beta,Q6UXL0,IL20RB,,,,,,,,,,,,,,,,
7124-18,IL-21,Interleukin-21,Q9HBE4,IL21,,X,X,,X,,,,,,,,,,X,X
9366-54,IL-21 sR,Interleukin-21 receptor,Q9HBE5,IL21R,,X,X,,X,,,,,,,,,,X,X
13742-66,IL-22,Interleukin-22,Q9GZX6,IL22,,,,,,,,,,X,,,X,,X,X
2778-10,IL-22,Interleukin-22,Q9GZX6,IL22,X,X,,,,,,,,X,,,X,,X,X
14093-10,Flt3 ligand,Fms-related tyrosine kinase 3 ligand,P49771,FLT3LG,,,,,,,,,,,,,,X,X,
3053-49,Flt3 ligand,Fms-related tyrosine kinase 3 ligand,P49771,FLT3LG,,,,,,,,,,,,,,X,X,
5087-5,IL-22BP,Interleukin-22 receptor subunit alpha-2,Q969J5,IL22RA2,,,,,,,,,,,X,,X,,X,
9456-34,IL-22BP,Interleukin-22 receptor subunit alpha-2,Q969J5,IL22RA2,,,,,,,,,,,X,,X,,X,
10365-132,IL-23,Interleukin-23,P29460|Q9NPF7,IL12B|IL23A,X,X,,X,,X,,X,,X,,,X,,X,X
5088-175,IL-23 R,Interleukin-23 receptor,Q5VWK5,IL23R,X,X,,,,X,,X,,X,,,X,,X,X
21227-18,SULT 1A1*2,SULT 1A1*2,P50225,SULT1A1,X,X,,X,,,,,,,,,,X,X,
4137-57,IL-17E,Interleukin-25,Q9H293,IL25,,,,,,,,,,X,,,X,,X,X
16760-2,IL-26,Interleukin-26,Q9NPH9,IL26,,,,,,,,,,,,,,,,
2829-19,IL-27,Interleukin-27,Q8NEV9|Q14213,IL27|EBI3,X,X,X,X,X,,,,,,,,,,X,X
5132-71,TCCR,Interleukin-27 receptor subunit alpha,Q6UWB1,IL27RA,,,,,,,,,,,,,,,,
10851-77,IL27B,Interleukin-27 subunit beta,Q14213,EBI3,,,,,,,,,,,,,,,,
4717-55,IL-3,Interleukin-3,P08700,IL3,,,,,,,,,,,,,,,,
13744-37,IL-3 Ra,Interleukin-3 receptor subunit alpha,P26951,IL3RA,,,,,,,,,,X,,,X,,X,X
10455-196,IL-31,Interleukin-31,Q6EBC2,IL31,,X,,,,,,,,,,,,,,
8273-84,IL31R,Interleukin-31 receptor subunit alpha,Q8NI17,IL31RA,,,X,,,,,,,,,,,,,
9051-13,IL32,Interleukin-32,P24001,IL32,,X,,X,,,,,,,,,,,,
4556-10,IL-34,Interleukin-34,Q6ZMJ4,IL34,,,,,,,,,,X,,,X,,X,X
20533-39,IL-35,Interleukin-35,P29459|Q14213,IL12A|EBI3,X,X,,X,,,,,,,,,,,,
14150-7,IL-1F6,Interleukin-36 alpha,Q9UHA7,IL36A,,,,,,,,,,,,,,,,
14149-9,IL-1F8,Interleukin-36 beta,Q9NZH7,IL36B,,,,,,,,,,,,,,,,
9117-4,IL-1F9,Interleukin-36 gamma,Q9NZH8,IL36G,,,,,,,,,,,,,,,,
18375-28,IL-1F5,Interleukin-36 receptor antagonist protein,Q9UBH0,IL36RN,,,,,,,,,,,,,,,,
2723-9,IL-1F7,Interleukin-37,Q9NZH6,IL37,,,,,,,,,,,,,,,,
8833-20,TRAIL,Tumor necrosis factor ligand superfamily member 10,P50591,TNFSF10,,X,,X,,,,,,,,,,X,X,
5301-7,Eotaxin,Eotaxin,P51671,CCL11,X,X,,,,,,,,X,,X,X,X,X,X
3055-54,IL-4 sR,Interleukin-4 receptor subunit alpha,P24394,IL4R,X,X,,X,,,,,,,,,,,,
3028-36,Ck-b-8-1,Ck-beta-8-1,P55773,CCL23,,X,,,,,,,,,,,,X,X,
3070-1,IL-2,Interleukin-2,P60568,IL2,X,X,,X,,,,,,X,,X,X,X,X,X
13686-2,IL-5 Ra,Interleukin-5 receptor subunit alpha,Q01344,IL5RA,,X,,,,,,,,,,,,,,
4491-4,IL-5 Ra,Interleukin-5 receptor subunit alpha,Q01344,IL5RA,,,,,,,,,,,,,,,,
2573-20,IL-6,Interleukin-6,P05231,IL6,,,,,,,,,,,,,,,,
2827-23,Fractalkine/CX3CL-1,Fractalkine,P78423,CX3CL1,X,X,X,,X,,,,,,,X,X,X,X,X
15602-43,IL-6 sRa,Interleukin-6 receptor subunit alpha,P08887,IL6R,,,,,,,,,,,,,,,,
4139-71,IL-6 sRa,Interleukin-6 receptor subunit alpha,P08887,IL6R,X,X,X,X,X,X,,X,,,,,X,,X,X
8092-29,IL-6 sRa,Interleukin-6 receptor subunit alpha,P08887,IL6R,,,,,,X,,X,,,,,X,,X,
2620-4,"gp130, soluble",Interleukin-6 receptor subunit beta,P40189,IL6ST,X,X,,X,,,,,,,,,,,,
14049-17,IL-7,Interleukin-7,P13232,IL7,,,,,,,,,,,,,,,,
2468-62,MIP-3a,C-C motif chemokine 20,P78556,CCL20,,X,X,X,X,,,,,,,,,X,X,X
5089-11,IL-7 Ra,Interleukin-7 receptor subunit alpha,P16871,IL7R,X,X,X,,X,,,,,,,,,,X,X
13748-4,MCP-2,C-C motif chemokine 8,P80075,CCL8,,X,,,,,,,,X,,,X,X,X,X
5834-18,IL-9,Interleukin-9,P15248,IL9,,X,,,,,,,,,,,,,,
14070-56,ITSN1,Intersectin-1,Q15811,ITSN1,,,,,,,,,,,,,,,,
22969-12,MCP-3,C-C motif chemokine 7,P80098,CCL7,X,X,,,,,,,,X,,,X,X,X,X
10463-23,"Alkaline phosphatase, intestine",Intestinal-type alkaline phosphatase,P09923,ALPI,,,,,,,,,,,,,,,,
17441-4,"Alkaline phosphatase, intestine",Intestinal-type alkaline phosphatase,P09923,ALPI,,,,,,,,,,,,,,,,
10815-2,HABP4,Intracellular hyaluronan-binding protein 4,Q5JVS0,HABP4,,,,,,,,,,,,,,,,
20460-22,IFT20,Intraflagellar transport protein 20 homolog,Q8IY31,IFT20,,,,,,,,,,,,,,,,
20451-126,IFT22,Intraflagellar transport protein 22 homolog,Q9H7X7,IFT22,,,,,,,,,,,,,,,,
22481-15,IQCD,IQ domain-containing protein D,Q96DY2,IQCD,,,,,,,,,,,,,,,,
7991-54,IQCF1,IQ domain-containing protein F1,Q8N6M8,IQCF1,,,,,,,,,,,,,,,,
13439-6,IQCF3,IQ domain-containing protein F3,P0C7M6,IQCF3,,,,,,,,,,,,,,,,
8011-96,PAPL,Iron/zinc purple acid phosphatase-like protein,Q6ZNF0,ACP7,,,,,,,,,,,,,,,,
7201-5,ISCU,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",Q9H1K1,ISCU,,,X,,,,,,,,,,,,,
19316-2,HSC20,"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",Q8IWL3,HSCB,,,,,,,,,,,,,,,,
19639-53,IAPP,Islet amyloid polypeptide,P10997,IAPP,,,X,,,,,,,,,,,,,
21975-22,ICA69,Islet cell autoantigen 1,Q05084,ICA1,,,,,,,,,,,,,,,,
18313-4,Asparaginase-like protein 1,Isoaspartyl peptidase/L-asparaginase,Q7L266,ASRGL1,,X,,,,,,,,,,,,,,
11406-82,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",Q9UKU7,ACAD8,,,X,,,,,,,,,,,,,
9816-37,ISOC1,Isochorismatase domain-containing protein 1,Q96CN7,ISOC1,,,,,,,,,,,,,,,,
19275-68,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",P51553,IDH3G,,,,,,,,,,,,,,,,
18338-26,IDH,Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,IDH1,,X,,X,,,,,,,,,,,,
3495-15,GCP-2,C-X-C motif chemokine 6,P80162,CXCL6,,X,,,,,,,,,,,,X,X,
12815-9,SYIC,"Isoleucine--tRNA ligase, cytoplasmic",P41252,IARS1,,,,,,,,,,,,,,,,
17712-7,IDI1,Isopentenyl-diphosphate Delta-isomerase 1,Q13907,IDI1,,,,,,,,,,,,,,,,
17832-12,IDI2,Isopentenyl-diphosphate delta-isomerase 2,Q9BXS1,IDI2,,,,,,,,,,,,,,,,
17737-7,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",P26440,IVD,,,X,,,,,,,,,,,,,
12434-25,K0174,IST1 homolog,P53990,IST1,,,,,,,,,,,,,,,,
8355-80,ISM1,Isthmin-1,B1AKI9,None,,,,,,,,,,,,,,,,
21526-88,sperm-egg fusion protein 1,Izumo sperm-egg fusion protein 1,Q8IYV9,IZUMO1,,,,,,,,,,,,,,,,
20549-1,IZUM4,Izumo sperm-egg fusion protein 4,Q1ZYL8,IZUMO4,,,,,,,,,,,,,,,,
9068-17,JKIP3,Janus kinase and microtubule-interacting protein 3,Q5VZ66,JAKMIP3,,,,,,,,,,,,,,,,
20449-72,JOS1,Josephin-1,Q15040,JOSD1,,,,,,,,,,,,,,,,
21311-22,JDP2,Jun dimerization protein 2,Q8WYK2,JDP2,,,,,,,,,,,,,,,,
16768-3,PLAK,Junction plakoglobin,P14923,JUP,X,,,,,,,,,,,,,,,
23007-8,PLAK,Junction plakoglobin,P14923,JUP,,,,,,,,,,,,,,,,
20511-3,JAM-A,Junctional adhesion molecule A,Q9Y624,F11R,,,,,,,,,,,,,,,,
2997-8,JAM-B,Junctional adhesion molecule B,P57087,JAM2,,,,,,,,,,X,,,X,,X,X
2998-53,JAM-C,Junctional adhesion molecule C,Q9BX67,JAM3,,,,,,,,,,X,,,X,,X,X
5094-62,JAML1,Junctional adhesion molecule-like,Q86YT9,JAML,,,,,,,,,,,,,,,,
8232-90,JAML1,Junctional adhesion molecule-like,Q86YT9,JAML,,,,,,,,,,,,,,,,
6940-18,JPH1,Junctophilin-1,Q9HDC5,JPH1,,,,,,,,,,,,,,,,
9089-77,JPH3,Junctophilin-3,Q8WXH2,JPH3,,,,,,,,,,,,,,,,
9111-40,JPH4,Junctophilin-4,Q96JJ6,JPH4,,,,,,,,,,,X,,X,,X,
21444-40,Kallikrein 2,Kallikrein 2,P20151,KLK2,,,,,,,,,X,,,,X,,X,
6227-1,kallikrein 10,Kallikrein-10,O43240,KLK10,,,,X,,,,,X,,X,,X,,X,
2831-29,Kallikrein 11,Kallikrein-11,Q9UBX7,KLK11,,,,,,,,,X,X,,,X,,X,X
7775-15,Kallikrein 11,Kallikrein-11,Q9UBX7,KLK11,,,,,,,,,X,X,,,X,,X,X
3199-54,kallikrein 12,Kallikrein-12,Q9UKR0,KLK12,,,,,,,,,X,X,,,X,,X,X
11152-46,kallikrein 13,Kallikrein-13,Q9UKR3,KLK13,,,,,,,,,X,,,,X,,X,
3200-49,kallikrein 13,Kallikrein-13,Q9UKR3,KLK13,,,,,,,,,X,,,,X,,X,
15544-25,kallikrein 14,Kallikrein-14,Q9P0G3,KLK14,,,,,,,,,X,X,,,X,,X,X
3681-87,kallikrein 14,Kallikrein-14,Q9P0G3,KLK14,,,,,,,,,X,X,,,X,,X,X
8620-56,kallikrein 14,Kallikrein-14,Q9P0G3,KLK14,,,,,,,,,X,X,,,X,,X,X
6491-59,kallikrein 15,Kallikrein-15,Q9H2R5,KLK15,,,,,,,,,X,,,,X,,X,
2833-20,Kallikrein 4,Kallikrein-4,Q9Y5K2,KLK4,,,,X,,,,,X,X,,,X,,X,X
14039-33,kallikrein 5,Kallikrein-5,Q9Y337,KLK5,,,,,,,,,X,,,,X,,X,
3201-49,kallikrein 5,Kallikrein-5,Q9Y337,KLK5,,,,,,,,,,,,,,,,
3450-4,Kallikrein 6,Kallikrein-6,Q92876,KLK6,,,,,,,,,X,X,,,X,,X,X
3378-49,Kallikrein 7,Kallikrein-7,P49862,KLK7,,,,,,,,,X,,,,X,,X,
13708-56,kallikrein 8,Kallikrein-8,O60259,KLK8,,,,X,,,,,X,,,,X,,X,
2834-54,kallikrein 8,Kallikrein-8,O60259,KLK8,,,,,,,,,X,,,,X,,X,
5758-49,kallikrein 9,Kallikrein-9,Q9UKQ9,KLK9,,,,,,,,,X,,,,X,,X,
14105-5,Kallistatin,Kallistatin,P29622,SERPINA4,,,,,,,,,,,,,,,,
3449-58,Kallistatin,Kallistatin,P29622,SERPINA4,,,,,,,,,,,,,,,,
24494-67,KATL1,Katanin p60 ATPase-containing subunit A-like 1,Q9BW62,KATNAL1,,,,,,,,,,,,,,,,
7144-234,KAZD1,Kazal-type serine protease inhibitor domain-containing protein 1,Q96I82,KAZALD1,,,,,,,,,,,,,,,,
6611-8,KDEL1,KDEL motif-containing protein 1,Q6UW63,POGLUT2,,,,,,,,,,,,,,,,
8296-117,KDEL2,KDEL motif-containing protein 2,Q7Z4H8,POGLUT3,,,,,,,,,,,,,,,,
25285-14,KBTBB,Kelch repeat and BTB domain-containing protein 11,O94819,KBTBD11,,,,,,,,,,,,,,,,
12568-14,KEAP1,Kelch-like ECH-associated protein 1,Q14145,KEAP1,,,,,,,,,,X,,,X,,X,X
8485-7,KEAP1,Kelch-like ECH-associated protein 1,Q14145,KEAP1,,,,X,,,,,,X,,,X,,X,X
12695-62,KLH12,Kelch-like protein 12,Q53G59,KLHL12,,,,,,,,,,,,,,,,
12463-7,KLH13,Kelch-like protein 13,Q9P2N7,KLHL13,,,,,,,,,,,,,,,,
24903-7,KLH14,Kelch-like protein 14,Q9P2G3,KLHL14,,,,,,,,,,,,,,,,
23649-6,KLHL2,Kelch-like protein 2,O95198,KLHL2,,,,,,,,,,,,,,,,
25039-10,KLHL3,Kelch-like protein 3,Q9UH77,KLHL3,,,,,,,,,,,,,,,,
24256-7,KLH40,Kelch-like protein 40,Q2TBA0,KLHL40,,,,,,,,,,,,,,,,
23660-112,KLH41,Kelch-like protein 41,O60662,KLHL41,,,,,,,,,,,,,,,,
12625-138,KLHL7,Kelch-like protein 7,Q8IXQ5,KLHL7,,,,,,,,,,,,,,,,
7070-25,KELL,Kell blood group glycoprotein,P23276,KEL,,,,,,,,,,,,,,,,
22378-2,Keratin 34,Keratin 34,O76011,KRT34,,,,,,,,,,,,,,,,
22482-87,K1C14,"Keratin, type I cytoskeletal 14",P02533,KRT14,,,,X,,,,,,,,,,,,
18905-5,Keratin-16,"Keratin, type I cytoskeletal 16",P08779,KRT16,,,,,,,,,,,,,,,,
12923-51,Keratin 17,"Keratin, type I cytoskeletal 17",Q04695,KRT17,,,,X,,,,,,,,,,,,
5354-11,Keratin 18,"Keratin, type I cytoskeletal 18",P05783,KRT18,,,,X,,,,,,,,,,,,
15606-19,Keratin 19,"Keratin, type I cytoskeletal 19",P08727,KRT19,,X,X,,X,,,,,,,,,,X,X
12975-11,Keratin 20,"Keratin, type I cytoskeletal 20",P35900,KRT20,,,,X,,,,,,,,,,,,
9931-20,Keratin-1,"Keratin, type II cytoskeletal 1",P04264,KRT1,,,,,,,,,,,,,,,,
11177-16,K2C5,"Keratin, type II cytoskeletal 5",P13647,KRT5,,,,X,,,,,,,,,,,,
22486-58,Keratin 6A,"Keratin, type II cytoskeletal 6A",P02538,KRT6A,,,,,,,,,,,,,,,,
11383-41,Keratin 7,"Keratin, type II cytoskeletal 7",P08729,KRT7,,,X,X,,,,,,,,,,,,
22483-109,K2C71,"Keratin, type II cytoskeletal 71",Q3SY84,KRT71,,,,X,,,,,,,,,,,,
11566-48,Keratin 72,"Keratin, type II cytoskeletal 72",Q14CN4,KRT72,,,,,,,,,,,,,,,,
14615-46,KRA24,Keratin-associated protein 2-4,Q9BYR9,KRTAP2-4,,,,,,,,,,,,,,,,
23550-10,KDF1,Keratinocyte differentiation factor 1,Q8NAX2,KDF1,,,,,,,,,,,,,,,,
5739-75,KTDAP,Keratinocyte differentiation-associated protein,P60985,KRTDAP,,,,,,,,,,,,,,,,
10758-2,KERA,Keratocan,O60938,KERA,,,,,,,,,,,,,,,,
21856-59,KHK,Ketohexokinase,P50053,KHK,,,X,,,,,,,,,,,,,
23395-5,KHDR2,"KH domain-containing, RNA-binding, signal transduction-associated protein 2",Q5VWX1,KHDRBS2,,,,,,,,,,,,,,,,
19492-5,KAAG1,Kidney-associated antigen 1,Q9UBP8,KAAG1,,,,,,,,,,,,,,,,
12956-40,KBP,KIF1-binding protein,Q96EK5,KIFBP,,,,,,,,,,,,,,,,
17200-50,KI2L1,Killer cell immunoglobulin-like receptor 2DL1,P43626,KIR2DL1,,,,,,,,,,,,,,,,
7773-20,KI2L2,Killer cell immunoglobulin-like receptor 2DL2,P43627,KIR2DL2,,,,,,,,,,,,,,,,
17153-46,KI2L3,Killer cell immunoglobulin-like receptor 2DL3,P43628,KIR2DL3,,,,,,,,,,,,,,,,
5095-21,KI2L4,Killer cell immunoglobulin-like receptor 2DL4,Q99706,KIR2DL4,,,,,,,,,,X,,,X,,X,X
9245-1,KI2L4,Killer cell immunoglobulin-like receptor 2DL4,Q99706,KIR2DL4,,,,,,,,,,X,,,X,,X,X
7799-3,KI2LA,Killer cell immunoglobulin-like receptor 2DL5A,Q8N109,KIR2DL5A,,,,,,,,,,,,,,,,
